,sorszam,plotlabel,svc_likelihood,nn_likelihood,rf_likelihood,sum
13,3518,3518,0.7448936170212764,0.09884751773049648,0.942287234042553,1.7860283687943257
11,3438,3438,0.7448936170212764,0.0,0.916400709219858,1.6612943262411344
15,3522,3522,0.7032978723404255,0.0,0.6251477541371158,1.3284456264775413
32,152,152,0.7448936170212764,0.16790780141843972,0.14284869976359338,1.0556501182033096
24,782,782,0.7448936170212764,0.0,0.17984633569739952,0.9247399527186759
31,3033,3033,0.7448936170212764,0.0,0.13037825059101654,0.875271867612293
68,2493,2493,0.7448936170212764,0.0,0.11725768321513003,0.8621513002364065
87,57,57,0.7448936170212764,0.0,0.10159574468085106,0.8464893617021275
60,2766,2766,0.7448936170212764,0.0,0.012647754137115838,0.7575413711583923
74,1546,1546,0.7448936170212764,0.0,0.012647754137115838,0.7575413711583923
72,2689,2689,0.7448936170212764,0.0,0.0,0.7448936170212764
59,1629,1629,0.3069148936170212,0.0,0.3147754137115839,0.6216903073286051
38,899,899,0.04180851063829787,0.0,0.535963356973995,0.5777718676122928
73,2970,2970,0.3069148936170212,0.0,0.24636524822695038,0.5532801418439716
58,3046,3046,0.3069148936170212,0.0,0.13046690307328604,0.4373817966903072
7,295,295,0.3069148936170212,0.0,0.08871158392434988,0.39562647754137104
89,2812,2812,0.3903191489361701,0.0,0.0,0.3903191489361701
80,2119,2119,0.3903191489361701,0.0,0.0,0.3903191489361701
39,2891,2891,0.3903191489361701,0.0,0.0,0.3903191489361701
20,1080,1080,0.348723404255319,0.0,0.025856973995271867,0.3745803782505909
25,3301,3301,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
42,1001,1001,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
76,208,208,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
43,1006,1006,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
27,26,26,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
0,866,866,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
6,1570,1570,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
3,1179,1179,0.348723404255319,0.0,0.012825059101654846,0.3615484633569738
84,2953,2953,0.3069148936170212,0.0,0.012647754137115838,0.319562647754137
97,2315,2315,0.3069148936170212,0.0,0.0,0.3069148936170212
96,3139,3139,0.3069148936170212,0.0,0.0,0.3069148936170212
57,1267,1267,0.3069148936170212,0.0,0.0,0.3069148936170212
56,2081,2081,0.3069148936170212,0.0,0.0,0.3069148936170212
67,2864,2864,0.3069148936170212,0.0,0.0,0.3069148936170212
81,1033,1033,0.3069148936170212,0.0,0.0,0.3069148936170212
53,2914,2914,0.3069148936170212,0.0,0.0,0.3069148936170212
51,632,632,0.3069148936170212,0.0,0.0,0.3069148936170212
1,1898,1898,0.3069148936170212,0.0,0.0,0.3069148936170212
69,3189,3189,0.3069148936170212,0.0,0.0,0.3069148936170212
48,1686,1686,0.3069148936170212,0.0,0.0,0.3069148936170212
47,316,316,0.3069148936170212,0.0,0.0,0.3069148936170212
70,850,850,0.3069148936170212,0.0,0.0,0.3069148936170212
71,1516,1516,0.3069148936170212,0.0,0.0,0.3069148936170212
63,472,472,0.3069148936170212,0.0,0.0,0.3069148936170212
94,1710,1710,0.3069148936170212,0.0,0.0,0.3069148936170212
28,2982,2982,0.3069148936170212,0.0,0.0,0.3069148936170212
90,566,566,0.3069148936170212,0.0,0.0,0.3069148936170212
78,2996,2996,0.3069148936170212,0.0,0.0,0.3069148936170212
9,3891,3891,0.3069148936170212,0.0,0.0,0.3069148936170212
21,1093,1093,0.3069148936170212,0.0,0.0,0.3069148936170212
40,2032,2032,0.04180851063829787,0.009773936170212766,0.16740543735224586,0.2189878841607565
33,2588,2588,0.0,0.0,0.17003546099290778,0.17003546099290778
62,3075,3075,0.1296808510638298,0.0,0.0,0.1296808510638298
95,3274,3274,0.08808510638297871,0.0,0.0,0.08808510638297871
37,894,894,0.08340425531914894,0.0,0.0,0.08340425531914894
36,892,892,0.04180851063829787,0.0,0.03933215130023641,0.08114066193853428
8,283,283,0.0,0.0,0.07588652482269503,0.07588652482269503
26,27,27,0.0,0.0,0.07588652482269503,0.07588652482269503
52,666,666,0.04180851063829787,0.0,0.013002364066193853,0.054810874704491724
16,3412,3412,0.04159574468085107,0.0,0.012825059101654846,0.05442080378250591
82,42,42,0.04180851063829787,0.0,0.0,0.04180851063829787
93,382,382,0.04180851063829787,0.0,0.0,0.04180851063829787
50,2239,2239,0.04180851063829787,0.0,0.0,0.04180851063829787
18,3904,3904,0.04159574468085107,0.0,0.0,0.04159574468085107
34,2606,2606,0.0,0.0,0.026182033096926714,0.026182033096926714
35,2593,2593,0.0,0.0,0.026182033096926714,0.026182033096926714
61,3080,3080,0.0,0.0,0.0,0.0
14,3765,3765,0.0,0.0,0.0,0.0
85,1731,1731,0.0,0.0,0.0,0.0
86,1724,1724,0.0,0.0,0.0,0.0
88,3120,3120,0.0,0.0,0.0,0.0
17,3524,3524,0.0,0.0,0.0,0.0
91,15,15,0.0,0.0,0.0,0.0
83,169,169,0.0,0.0,0.0,0.0
92,836,836,0.0,0.0,0.0,0.0
12,3882,3882,0.0,0.0,0.0,0.0
10,3742,3742,0.0,0.0,0.0,0.0
5,1585,1585,0.0,0.0,0.0,0.0
4,10,10,0.0,0.0,0.0,0.0
2,1884,1884,0.0,0.0,0.0,0.0
98,393,393,0.0,0.0,0.0,0.0
19,3617,3617,0.0,0.0,0.0,0.0
23,2574,2574,0.0,0.0,0.0,0.0
22,1081,1081,0.0,0.0,0.0,0.0
