telepules,terulet,lakossag,,,,,,,,,,,,,,
Baranyajenő,16,489,,,,,,,,,,,,,,
Baranyaszentgyörgy,7,121,,,,,,,,,,,,,,
Felsőegerszeg,5,135,,,,,,,,,,,,,,
Gerényes,12,256,,,,,,,,,,,,,,
Gödre,40,831,,,,,,,,,,,,,,
Kisbeszterce,7,78,,,,,,,,,,,,,,
Kishajmás,12,204,,,,,,,,,,,,,,
Kisvaszar,20,332,,,,,,,,,,,,,,
Mágocs,43,2388,,,,,,,,,,,,,,
Mekényes,18,267,,,,,,,,,,,,,,
Meződ,10,124,,,,,,,,,,,,,,
Mindszentgodisa,23,870,,,,,,,,,,,,,,
Nagyhajmás,18,340,,,,,,,,,,,,,,
Palé,2,106,,,,,,,,,,,,,,
Sásd,15,3282,,,,,,,,,,,,,,
Szágy,9,152,,,,,,,,,,,,,,
Tarrós,5,123,,,,,,,,,,,,,,
Tékes,13,230,,,,,,,,,,,,,,
Tormás,25,284,,,,,,,,,,,,,,
Varga,8,94,,,,,,,,,,,,,,
Vásárosdombó,12,1090,,,,,,,,,,,,,,
Vázsnok,5,124,,,,,,,,,,,,,,
Hegyháti járás,361,12703,,,,,,,,,,,,,,
Adorjás,8,181,,,,,,,,,,,,,,
Baksa,14,769,,,,,,,,,,,,,,
Baranyahídvég,8,202,,,,,,,,,,,,,,
Besence,10,121,,,,,,,,,,,,,,
Bogádmindszent,12,431,,,,,,,,,,,,,,
Bogdása,21,276,,,,,,,,,,,,,,
Csányoszró,29,668,,,,,,,,,,,,,,
Drávafok,24,503,,,,,,,,,,,,,,
Drávaiványi,11,196,,,,,,,,,,,,,,
Drávakeresztúr,13,109,,,,,,,,,,,,,,
Drávasztára,18,398,,,,,,,,,,,,,,
Felsőszentmárton,19,881,,,,,,,,,,,,,,
Gilvánfa,15,369,,,,,,,,,,,,,,
Hegyszentmárton,19,408,,,,,,,,,,,,,,
Hirics,15,232,,,,,,,,,,,,,,
Kákics,15,227,,,,,,,,,,,,,,
Kemse,9,57,,,,,,,,,,,,,,
Kisasszonyfa,9,178,,,,,,,,,,,,,,
Kisszentmárton,15,261,,,,,,,,,,,,,,
Kórós,15,222,,,,,,,,,,,,,,
Lúzsok,7,266,,,,,,,,,,,,,,
Magyarmecske,12,309,,,,,,,,,,,,,,
Magyartelek,7,216,,,,,,,,,,,,,,
Markóc,6,55,,,,,,,,,,,,,,
Marócsa,11,86,,,,,,,,,,,,,,
Nagycsány,6,152,,,,,,,,,,,,,,
Okorág,12,167,,,,,,,,,,,,,,
Ózdfalu,8,177,,,,,,,,,,,,,,
Páprád,12,153,,,,,,,,,,,,,,
Piskó,12,241,,,,,,,,,,,,,,
Sámod,6,217,,,,,,,,,,,,,,
Sellye,25,2752,,,,,,,,,,,,,,
Sósvertike,7,184,,,,,,,,,,,,,,
Tengeri,4,47,,,,,,,,,,,,,,
Téseny,12,323,,,,,,,,,,,,,,
Vajszló,18,1694,,,,,,,,,,,,,,
Vejti,10,160,,,,,,,,,,,,,,
Zaláta,22,278,,,,,,,,,,,,,,
Sellyei járás,494,14166,,,,,,,,,,,,,,
Alsószentmárton,14,1177,,,,,,,,,,,,,,
Babarcszőlős,4,96,,,,,,,,,,,,,,
Beremend,48,2594,,,,,,,,,,,,,,
Bisse,14,228,,,,,,,,,,,,,,
Cún,18,242,,,,,,,,,,,,,,
Csarnóta,5,150,,,,,,,,,,,,,,
Diósviszló,16,702,,,,,,,,,,,,,,
Drávacsehi,7,214,,,,,,,,,,,,,,
Drávacsepely,7,201,,,,,,,,,,,,,,
Drávapalkonya,10,249,,,,,,,,,,,,,,
Drávapiski,5,112,,,,,,,,,,,,,,
Drávaszabolcs,11,703,,,,,,,,,,,,,,
Drávaszerdahely,6,188,,,,,,,,,,,,,,
Egyházasharaszti,11,323,,,,,,,,,,,,,,
Garé,9,295,,,,,,,,,,,,,,
Gordisa,11,314,,,,,,,,,,,,,,
Harkány,26,4065,,,,,,,,,,,,,,
Illocska,15,240,,,,,,,,,,,,,,
Ipacsfa,6,187,,,,,,,,,,,,,,
Ivánbattyán,6,120,,,,,,,,,,,,,,
Kásád,13,299,,,,,,,,,,,,,,
Kémes,7,471,,,,,,,,,,,,,,
Kisdér,4,127,,,,,,,,,,,,,,
Kisharsány,13,550,,,,,,,,,,,,,,
Kisjakabfalva,7,118,,,,,,,,,,,,,,
Kiskassa,13,256,,,,,,,,,,,,,,
Kislippó,8,280,,,,,,,,,,,,,,
Kistapolca,4,191,,,,,,,,,,,,,,
Kistótfalu,11,324,,,,,,,,,,,,,,
Kovácshida,8,262,,,,,,,,,,,,,,
Lapáncsa,4,201,,,,,,,,,,,,,,
Magyarbóly,17,948,,,,,,,,,,,,,,
Márfa,4,209,,,,,,,,,,,,,,
Márok,16,431,,,,,,,,,,,,,,
Matty,17,332,,,,,,,,,,,,,,
Nagyharsány,26,1570,,,,,,,,,,,,,,
Nagytótfalu,11,389,,,,,,,,,,,,,,
Old,14,336,,,,,,,,,,,,,,
Palkonya,10,271,,,,,,,,,,,,,,
Pécsdevecser,5,96,,,,,,,,,,,,,,
Peterd,11,197,,,,,,,,,,,,,,
Rádfalva,13,179,,,,,,,,,,,,,,
Siklós,51,9631,,,,,,,,,,,,,,
Siklósbodony,4,128,,,,,,,,,,,,,,
Siklósnagyfalu,9,445,,,,,,,,,,,,,,
Szaporca,10,249,,,,,,,,,,,,,,
Szava,13,350,,,,,,,,,,,,,,
Tésenfa,8,167,,,,,,,,,,,,,,
Túrony,9,249,,,,,,,,,,,,,,
Újpetre,17,1033,,,,,,,,,,,,,,
Villány,22,2474,,,,,,,,,,,,,,
Villánykövesd,7,277,,,,,,,,,,,,,,
Vokány,17,817,,,,,,,,,,,,,,
Siklósi járás,653,36257,,,,,,,,,,,,,,
Bicsérd,20,1008,,,,,,,,,,,,,,
Boda,15,436,,,,,,,,,,,,,,
Bükkösd,30,1099,,,,,,,,,,,,,,
Cserdi,6,375,,,,,,,,,,,,,,
Csonkamindszent,6,177,,,,,,,,,,,,,,
Dinnyeberki,9,90,,,,,,,,,,,,,,
Gerde,13,520,,,,,,,,,,,,,,
Gyöngyfa,9,156,,,,,,,,,,,,,,
Helesfa,10,501,,,,,,,,,,,,,,
Hetvehely,21,417,,,,,,,,,,,,,,
Kacsóta,10,272,,,,,,,,,,,,,,
Királyegyháza,23,915,,,,,,,,,,,,,,
Okorvölgy,3,88,,,,,,,,,,,,,,
Pécsbagota,6,93,,,,,,,,,,,,,,
Sumony,20,406,,,,,,,,,,,,,,
Szabadszentkirály,13,785,,,,,,,,,,,,,,
Szentdénes,12,327,,,,,,,,,,,,,,
Szentkatalin,13,106,,,,,,,,,,,,,,
Szentlőrinc,28,6848,,,,,,,,,,,,,,
Velény,7,146,,,,,,,,,,,,,,
Zók,9,277,,,,,,,,,,,,,,
Szentlőrinci járás,282,15042,,,,,,,,,,,,,,
Almamellék,44,428,,,,,,,,,,,,,,
Almáskeresztúr,13,83,,,,,,,,,,,,,,
Bánfa,12,187,,,,,,,,,,,,,,
Basal,4,202,,,,,,,,,,,,,,
Boldogasszonyfa,17,426,,,,,,,,,,,,,,
Botykapeterd,17,312,,,,,,,,,,,,,,
Bürüs,16,97,,,,,,,,,,,,,,
Csebény,4,94,,,,,,,,,,,,,,
Csertő,14,403,,,,,,,,,,,,,,
Dencsháza,14,591,,,,,,,,,,,,,,
Endrőc,11,353,,,,,,,,,,,,,,
Gyöngyösmellék,10,283,,,,,,,,,,,,,,
Hobol,18,985,,,,,,,,,,,,,,
Horváthertelend,5,78,,,,,,,,,,,,,,
Ibafa,29,237,,,,,,,,,,,,,,
Katádfa,4,176,,,,,,,,,,,,,,
Kétújfalu,16,673,,,,,,,,,,,,,,
Kisdobsza,10,238,,,,,,,,,,,,,,
Kistamási,4,135,,,,,,,,,,,,,,
Magyarlukafa,13,81,,,,,,,,,,,,,,
Merenye,14,270,,,,,,,,,,,,,,
Molvány,14,182,,,,,,,,,,,,,,
Mozsgó,22,1043,,,,,,,,,,,,,,
Nagydobsza,13,668,,,,,,,,,,,,,,
Nagypeterd,12,649,,,,,,,,,,,,,,
Nagyváty,13,341,,,,,,,,,,,,,,
Nemeske,11,244,,,,,,,,,,,,,,
Nyugotszenterzsébet,9,243,,,,,,,,,,,,,,
Patapoklosi,13,322,,,,,,,,,,,,,,
Pettend,6,149,,,,,,,,,,,,,,
Rózsafa,17,368,,,,,,,,,,,,,,
Somogyapáti,11,501,,,,,,,,,,,,,,
Somogyhárságy,31,434,,,,,,,,,,,,,,
Somogyhatvan,14,334,,,,,,,,,,,,,,
Somogyviszló,13,252,,,,,,,,,,,,,,
Szentegát,28,396,,,,,,,,,,,,,,
Szentlászló,14,843,,,,,,,,,,,,,,
Szigetvár,40,10772,,,,,,,,,,,,,,
Szörény,4,65,,,,,,,,,,,,,,
Szulimán,10,216,,,,,,,,,,,,,,
Teklafalu,17,317,,,,,,,,,,,,,,
Tótszentgyörgy,8,166,,,,,,,,,,,,,,
Várad,8,111,,,,,,,,,,,,,,
Vásárosbéc,24,178,,,,,,,,,,,,,,
Zádor,15,325,,,,,,,,,,,,,,
Szigetvári járás,657,25451,,,,,,,,,,,,,,
Bács-Kiskun megye,,,,,,,,,,,,,,,,
Bácsalmás,108,6697,,,,,,,,,,,,,,
Bácsbokod,64,2619,,,,,,,,,,,,,,
Bácsborsód,78,1196,,,,,,,,,,,,,,
Bácsszőlős,39,359,,,,,,,,,,,,,,
Csikéria,26,889,,,,,,,,,,,,,,
Katymár,71,2060,,,,,,,,,,,,,,
Kunbaja,34,1485,,,,,,,,,,,,,,
Madaras,49,2924,,,,,,,,,,,,,,
Mátételke,28,499,,,,,,,,,,,,,,
Tataháza,26,1235,,,,,,,,,,,,,,
Bácsalmási járás,523,19963,,,,,,,,,,,,,,
Bácsszentgyörgy,15,156,,,,,,,,,,,,,,
Baja,178,37330,,,,,,,,,,,,,,
Bátmonostor,38,1504,,,,,,,,,,,,,,
Csátalja,39,1468,,,,,,,,,,,,,,
Csávoly,47,1806,,,,,,,,,,,,,,
Dávod,69,1926,,,,,,,,,,,,,,
Dunafalva,58,818,,,,,,,,,,,,,,
Érsekcsanád,58,2828,,,,,,,,,,,,,,
Érsekhalma,28,638,,,,,,,,,,,,,,
Felsőszentiván,54,1928,,,,,,,,,,,,,,
Gara,60,2457,,,,,,,,,,,,,,
Hercegszántó,69,1879,,,,,,,,,,,,,,
Nagybaracska,38,2181,,,,,,,,,,,,,,
Nemesnádudvar,59,1802,,,,,,,,,,,,,,
Sükösd,94,3693,,,,,,,,,,,,,,
Szeremle,35,1413,,,,,,,,,,,,,,
Vaskút,71,3421,,,,,,,,,,,,,,
Bajai járás,1009,67248,,,,,,,,,,,,,,
Borota,82,1294,,,,,,,,,,,,,,
Jánoshalma,132,8937,,,,,,,,,,,,,,
Kéleshalom,62,424,,,,,,,,,,,,,,
Mélykút,123,5081,,,,,,,,,,,,,,
Rém,40,1295,,,,,,,,,,,,,,
Jánoshalmi járás,439,17031,,,,,,,,,,,,,,
Bátya,34,2023,,,,,,,,,,,,,,
Drágszél,13,329,,,,,,,,,,,,,,
Dunapataj,90,3169,,,,,,,,,,,,,,
Dunaszentbenedek,23,812,,,,,,,,,,,,,,
Dunatetétlen,43,530,,,,,,,,,,,,,,
Dusnok,57,2873,,,,,,,,,,,,,,
Fajsz,32,1658,,,,,,,,,,,,,,
Foktő,31,1606,,,,,,,,,,,,,,
Géderlak,19,983,,,,,,,,,,,,,,
Hajós,90,3134,,,,,,,,,,,,,,
Harta,130,3275,,,,,,,,,,,,,,
Homokmégy,70,1326,,,,,,,,,,,,,,
Kalocsa,53,16959,,,,,,,,,,,,,,
Miske,42,1656,,,,,,,,,,,,,,
Ordas,17,415,,,,,,,,,,,,,,
Öregcsertő,43,753,,,,,,,,,,,,,,
Solt,133,6285,,,,,,,,,,,,,,
Szakmár,75,1148,,,,,,,,,,,,,,
Újsolt,33,153,,,,,,,,,,,,,,
Újtelek,10,373,,,,,,,,,,,,,,
Uszód,24,1008,,,,,,,,,,,,,,
Kalocsai járás,1062,50468,,,,,,,,,,,,,,
Ágasegyháza,56,2018,,,,,,,,,,,,,,
Ballószög,35,3418,,,,,,,,,,,,,,
Felsőlajos,11,1012,,,,,,,,,,,,,,
Fülöpháza,47,822,,,,,,,,,,,,,,
Fülöpjakab,23,1147,,,,,,,,,,,,,,
Helvécia,56,4494,,,,,,,,,,,,,,
Jakabszállás,71,2631,,,,,,,,,,,,,,
Kecskemét,323,114226,,,,,,,,,,,,,,
Kerekegyháza,81,6300,,,,,,,,,,,,,,
Kunbaracs,55,630,,,,,,,,,,,,,,
Kunszállás,21,1640,,,,,,,,,,,,,,
Ladánybene,41,1694,,,,,,,,,,,,,,
Lajosmizse,165,11073,,,,,,,,,,,,,,
Nyárlőrinc,66,2282,,,,,,,,,,,,,,
Orgovány,99,3255,,,,,,,,,,,,,,
Városföld,62,2162,,,,,,,,,,,,,,
Kecskeméti járás,1212,158804,,,,,,,,,,,,,,
Akasztó,65,3230,,,,,,,,,,,,,,
Bócsa,97,1830,,,,,,,,,,,,,,
Császártöltés,82,2323,,,,,,,,,,,,,,
Csengőd,49,2020,,,,,,,,,,,,,,
Fülöpszállás,91,2278,,,,,,,,,,,,,,
Imrehegy,70,694,,,,,,,,,,,,,,
Izsák,114,5904,,,,,,,,,,,,,,
Kaskantyú,58,926,,,,,,,,,,,,,,
Kecel,114,8687,,,,,,,,,,,,,,
Kiskőrös,102,14259,,,,,,,,,,,,,,
Páhi,39,1184,,,,,,,,,,,,,,
Soltszentimre,44,1261,,,,,,,,,,,,,,
Soltvadkert,109,7433,,,,,,,,,,,,,,
Tabdi,21,1076,,,,,,,,,,,,,,
Tázlár,73,1702,,,,,,,,,,,,,,
Kiskőrösi járás,1130,54807,,,,,,,,,,,,,,
Bugac,131,2809,,,,,,,,,,,,,,
Bugacpusztaháza,43,297,,,,,,,,,,,,,,
Gátér,31,966,,,,,,,,,,,,,,
Kiskunfélegyháza,256,29972,,,,,,,,,,,,,,
Pálmonostora,53,1770,,,,,,,,,,,,,,
Petőfiszállás,68,1478,,,,,,,,,,,,,,
Kiskunfélegyházi járás,582,37292,,,,,,,,,,,,,,
Balotaszállás,105,1497,,,,,,,,,,,,,,
Harkakötöny,53,934,,,,,,,,,,,,,,
Kelebia,67,2583,,,,,,,,,,,,,,
Kiskunhalas,228,28427,,,,,,,,,,,,,,
Kisszállás,92,2396,,,,,,,,,,,,,,
Kunfehértó,78,2014,,,,,,,,,,,,,,
Pirtó,35,941,,,,,,,,,,,,,,
Tompa,82,4543,,,,,,,,,,,,,,
Zsana,88,752,,,,,,,,,,,,,,
Kiskunhalasi járás,826,44087,,,,,,,,,,,,,,
Csólyospálos,65,1658,,,,,,,,,,,,,,
Jászszentlászló,60,2458,,,,,,,,,,,,,,
Kiskunmajsa,222,11766,,,,,,,,,,,,,,
Kömpöc,30,698,,,,,,,,,,,,,,
Móricgát,33,479,,,,,,,,,,,,,,
Szank,75,2370,,,,,,,,,,,,,,
Kiskunmajsai járás,485,19429,,,,,,,,,,,,,,
Apostag,32,1948,,,,,,,,,,,,,,
Dunaegyháza,10,1504,,,,,,,,,,,,,,
Dunavecse,67,3937,,,,,,,,,,,,,,
Kunadacs,90,1566,,,,,,,,,,,,,,
Kunpeszér,78,649,,,,,,,,,,,,,,
Kunszentmiklós,172,8515,,,,,,,,,,,,,,
Szabadszállás,165,5896,,,,,,,,,,,,,,
Szalkszentmárton,82,2827,,,,,,,,,,,,,,
Tass,75,2906,,,,,,,,,,,,,,
Kunszentmiklósi járás,770,29748,,,,,,,,,,,,,,
Lakitelek,55,4452,,,,,,,,,,,,,,
Szentkirály,102,1940,,,,,,,,,,,,,,
Tiszaalpár,91,4907,,,,,,,,,,,,,,
Tiszakécske,133,11237,,,,,,,,,,,,,,
Tiszaug,25,899,,,,,,,,,,,,,,
Tiszakécskei járás,406,23435,,,,,,,,,,,,,,
Békés megye,,,,,,,,,,,,,,,,
Békés,127,19763,,,,,,,,,,,,,,
Bélmegyer,63,981,,,,,,,,,,,,,,
Kamut,60,991,,,,,,,,,,,,,,
Köröstarcsa,63,2477,,,,,,,,,,,,,,
Mezőberény,119,10896,,,,,,,,,,,,,,
Murony,36,1228,,,,,,,,,,,,,,
Tarhos,57,915,,,,,,,,,,,,,,
Békési járás,525,37251,,,,,,,,,,,,,,
Békéscsaba,194,63752,,,,,,,,,,,,,,
Csabaszabadi,33,335,,,,,,,,,,,,,,
Csorvás,90,4981,,,,,,,,,,,,,,
Doboz,54,4167,,,,,,,,,,,,,,
Gerendás,41,1311,,,,,,,,,,,,,,
Kétsoprony,51,1428,,,,,,,,,,,,,,
Szabadkígyós,46,2696,,,,,,,,,,,,,,
Telekgerendás,72,1549,,,,,,,,,,,,,,
Újkígyós,55,5235,,,,,,,,,,,,,,
Békéscsabai járás,636,85454,,,,,,,,,,,,,,
Csárdaszállás,54,442,,,,,,,,,,,,,,
Dévaványa,217,7622,,,,,,,,,,,,,,
Ecsegfalva,79,1157,,,,,,,,,,,,,,
Gyomaendrőd,304,13674,,,,,,,,,,,,,,
Hunya,33,634,,,,,,,,,,,,,,
Gyomaendrődi járás,686,23529,,,,,,,,,,,,,,
Elek,55,4816,,,,,,,,,,,,,,
Gyula,256,31679,,,,,,,,,,,,,,
Kétegyháza,50,4007,,,,,,,,,,,,,,
Lőkösháza,52,1762,,,,,,,,,,,,,,
Gyulai járás,413,42264,,,,,,,,,,,,,,
Almáskamarás,15,835,,,,,,,,,,,,,,
Battonya,146,5565,,,,,,,,,,,,,,
Dombegyház,58,1943,,,,,,,,,,,,,,
Dombiratos,18,526,,,,,,,,,,,,,,
Kaszaper,34,1963,,,,,,,,,,,,,,
Kevermes,43,1937,,,,,,,,,,,,,,
Kisdombegyház,13,457,,,,,,,,,,,,,,
Kunágota,64,2559,,,,,,,,,,,,,,
Magyarbánhegyes,37,2374,,,,,,,,,,,,,,
Magyardombegyház,8,201,,,,,,,,,,,,,,
Medgyesbodzás,32,1026,,,,,,,,,,,,,,
Medgyesegyháza,64,3691,,,,,,,,,,,,,,
Mezőhegyes,155,4994,,,,,,,,,,,,,,
Mezőkovácsháza,63,6049,,,,,,,,,,,,,,
Nagybánhegyes,42,1129,,,,,,,,,,,,,,
Nagykamarás,43,1366,,,,,,,,,,,,,,
Pusztaottlaka,19,356,,,,,,,,,,,,,,
Végegyháza,29,1305,,,,,,,,,,,,,,
Mezőkovácsházi járás,881,38276,,,,,,,,,,,,,,
Békéssámson,71,2318,,,,,,,,,,,,,,
Csanádapáca,51,2617,,,,,,,,,,,,,,
Gádoros,38,3555,,,,,,,,,,,,,,
Kardoskút,77,885,,,,,,,,,,,,,,
Nagyszénás,96,5070,,,,,,,,,,,,,,
Orosháza,202,28910,,,,,,,,,,,,,,
