telepules,terulet,lakossag,,,,,,,,,,,,,,
Abod,31,229,,,,,,,,,,,,,,
Balajt,9,463,,,,,,,,,,,,,,
Becskeháza,5,44,,,,,,,,,,,,,,
Bódvalenke,7,184,,,,,,,,,,,,,,
Bódvarákó,9,94,,,,,,,,,,,,,,
Bódvaszilas,19,1005,,,,,,,,,,,,,,
Boldva,28,2331,,,,,,,,,,,,,,
Borsodszirák,11,1199,,,,,,,,,,,,,,
Damak,8,234,,,,,,,,,,,,,,
Debréte,10,21,,,,,,,,,,,,,,
Edelény,57,10019,,,,,,,,,,,,,,
Égerszög,11,43,,,,,,,,,,,,,,
Galvács,15,91,,,,,,,,,,,,,,
Hangács,23,573,,,,,,,,,,,,,,
Hegymeg,6,104,,,,,,,,,,,,,,
Hidvégardó,17,507,,,,,,,,,,,,,,
Irota,12,67,,,,,,,,,,,,,,
Komjáti,11,254,,,,,,,,,,,,,,
Ládbesenyő,10,271,,,,,,,,,,,,,,
Lak,20,604,,,,,,,,,,,,,,
Martonyi,18,374,,,,,,,,,,,,,,
Meszes,11,157,,,,,,,,,,,,,,
Nyomár,10,327,,,,,,,,,,,,,,
Perkupa,19,819,,,,,,,,,,,,,,
Rakaca,19,725,,,,,,,,,,,,,,
Rakacaszend,16,338,,,,,,,,,,,,,,
Szakácsi,9,132,,,,,,,,,,,,,,
Szalonna,20,1027,,,,,,,,,,,,,,
Szendrő,54,4062,,,,,,,,,,,,,,
Szendrőlád,18,2062,,,,,,,,,,,,,,
Szin,18,738,,,,,,,,,,,,,,
Szinpetri,10,220,,,,,,,,,,,,,,
Szögliget,35,606,,,,,,,,,,,,,,
Szőlősardó,11,100,,,,,,,,,,,,,,
Szuhogy,17,1184,,,,,,,,,,,,,,
Teresztenye,9,20,,,,,,,,,,,,,,
Tomor,13,219,,,,,,,,,,,,,,
Tornabarakony,8,15,,,,,,,,,,,,,,
Tornakápolna,4,23,,,,,,,,,,,,,,
Tornanádaska,8,688,,,,,,,,,,,,,,
Tornaszentandrás,16,193,,,,,,,,,,,,,,
Tornaszentjakab,28,203,,,,,,,,,,,,,,
Varbóc,10,46,,,,,,,,,,,,,,
Viszló,11,62,,,,,,,,,,,,,,
Ziliz,9,348,,,,,,,,,,,,,,
Edelényi járás,718,33025,,,,,,,,,,,,,,
Alsógagy,6,97,,,,,,,,,,,,,,
Baktakék,19,718,,,,,,,,,,,,,,
Beret,7,272,,,,,,,,,,,,,,
Büttös,18,167,,,,,,,,,,,,,,
Csenyéte,10,438,,,,,,,,,,,,,,
Csobád,12,692,,,,,,,,,,,,,,
Detek,10,267,,,,,,,,,,,,,,
Encs,26,6201,,,,,,,,,,,,,,
Fáj,19,365,,,,,,,,,,,,,,
Fancsal,10,294,,,,,,,,,,,,,,
Felsőgagy,14,170,,,,,,,,,,,,,,
Forró,19,2432,,,,,,,,,,,,,,
Fulókércs,19,398,,,,,,,,,,,,,,
Gagyapáti,3,16,,,,,,,,,,,,,,
Garadna,10,432,,,,,,,,,,,,,,
Hernádpetri,17,258,,,,,,,,,,,,,,
Hernádszentandrás,7,452,,,,,,,,,,,,,,
Hernádvécse,17,1018,,,,,,,,,,,,,,
Ináncs,11,1242,,,,,,,,,,,,,,
Kány,9,63,,,,,,,,,,,,,,
Keresztéte,4,41,,,,,,,,,,,,,,
Krasznokvajda,11,424,,,,,,,,,,,,,,
Litka,7,37,,,,,,,,,,,,,,
Méra,15,1731,,,,,,,,,,,,,,
Novajidrány,14,1386,,,,,,,,,,,,,,
Perecse,13,36,,,,,,,,,,,,,,
Pusztaradvány,7,253,,,,,,,,,,,,,,
Szalaszend,18,1119,,,,,,,,,,,,,,
Szemere,26,370,,,,,,,,,,,,,,
Encsi járás,378,21389,,,,,,,,,,,,,,
Abaújalpár,8,76,,,,,,,,,,,,,,
Abaújkér,17,667,,,,,,,,,,,,,,
Abaújszántó,47,3088,,,,,,,,,,,,,,
Abaújvár,7,206,,,,,,,,,,,,,,
Arka,9,73,,,,,,,,,,,,,,
Baskó,30,183,,,,,,,,,,,,,,
Boldogkőújfalu,11,544,,,,,,,,,,,,,,
Boldogkőváralja,22,1084,,,,,,,,,,,,,,
Felsődobsza,15,882,,,,,,,,,,,,,,
Fony,41,343,,,,,,,,,,,,,,
Gibárt,5,374,,,,,,,,,,,,,,
Golop,9,523,,,,,,,,,,,,,,
Gönc,37,1951,,,,,,,,,,,,,,
Göncruszka,17,623,,,,,,,,,,,,,,
Hejce,10,268,,,,,,,,,,,,,,
Hernádbűd,6,135,,,,,,,,,,,,,,
Hernádcéce,10,210,,,,,,,,,,,,,,
Hernádszurdok,4,178,,,,,,,,,,,,,,
Hidasnémeti,16,1062,,,,,,,,,,,,,,
Kéked,13,171,,,,,,,,,,,,,,
Korlát,8,295,,,,,,,,,,,,,,
Mogyoróska,19,78,,,,,,,,,,,,,,
Pányok,8,47,,,,,,,,,,,,,,
Pere,10,333,,,,,,,,,,,,,,
Regéc,27,100,,,,,,,,,,,,,,
Sima,5,25,,,,,,,,,,,,,,
Tállya,38,1905,,,,,,,,,,,,,,
Telkibánya,47,555,,,,,,,,,,,,,,
Tornyosnémeti,14,445,,,,,,,,,,,,,,
Vilmány,13,1348,,,,,,,,,,,,,,
Vizsoly,18,786,,,,,,,,,,,,,,
Zsujta,7,164,,,,,,,,,,,,,,
Gönci járás,550,18722,,,,,,,,,,,,,,
Alacska,9,748,,,,,,,,,,,,,,
Alsótelekes,6,135,,,,,,,,,,,,,,
Bánhorváti,28,1335,,,,,,,,,,,,,,
Berente,9,1117,,,,,,,,,,,,,,
Dédestapolcsány,29,1426,,,,,,,,,,,,,,
Felsőtelekes,8,683,,,,,,,,,,,,,,
Izsófalva,9,1739,,,,,,,,,,,,,,
Kazincbarcika,37,28664,,,,,,,,,,,,,,
Kurityán,8,1598,,,,,,,,,,,,,,
Mályinka,24,475,,,,,,,,,,,,,,
Múcsony,18,3095,,,,,,,,,,,,,,
Nagybarca,14,1049,,,,,,,,,,,,,,
Ormosbánya,8,1670,,,,,,,,,,,,,,
Rudabánya,16,2488,,,,,,,,,,,,,,
Rudolftelep,4,714,,,,,,,,,,,,,,
Sajógalgóc,10,365,,,,,,,,,,,,,,
Sajóivánka,10,605,,,,,,,,,,,,,,
Sajókaza,31,3403,,,,,,,,,,,,,,
Sajószentpéter,35,11965,,,,,,,,,,,,,,
Szuhakálló,7,946,,,,,,,,,,,,,,
Tardona,12,1011,,,,,,,,,,,,,,
Vadna,8,597,,,,,,,,,,,,,,
Kazincbarcikai járás,342,65828,,,,,,,,,,,,,,
Ároktő,46,1051,,,,,,,,,,,,,,
Gelej,32,588,,,,,,,,,,,,,,
Hejőpapi,17,1119,,,,,,,,,,,,,,
Igrici,19,1219,,,,,,,,,,,,,,
Mezőcsát,103,5891,,,,,,,,,,,,,,
Tiszadorogma,47,367,,,,,,,,,,,,,,
Tiszakeszi,46,2487,,,,,,,,,,,,,,
Tiszatarján,40,1408,,,,,,,,,,,,,,
Mezőcsáti járás,351,14130,,,,,,,,,,,,,,
Bogács,25,2024,,,,,,,,,,,,,,
Borsodgeszt,15,246,,,,,,,,,,,,,,
Borsodivánka,16,739,,,,,,,,,,,,,,
Bükkábrány,18,1558,,,,,,,,,,,,,,
Bükkzsérc,37,950,,,,,,,,,,,,,,
Cserépfalu,45,1002,,,,,,,,,,,,,,
Cserépváralja,15,427,,,,,,,,,,,,,,
Csincse,11,562,,,,,,,,,,,,,,
Egerlövő,20,534,,,,,,,,,,,,,,
Kács,17,509,,,,,,,,,,,,,,
Mezőkeresztes,74,3803,,,,,,,,,,,,,,
Mezőkövesd,100,16538,,,,,,,,,,,,,,
Mezőnagymihály,62,1032,,,,,,,,,,,,,,
Mezőnyárád,14,1532,,,,,,,,,,,,,,
Négyes,17,236,,,,,,,,,,,,,,
Sály,26,2085,,,,,,,,,,,,,,
Szentistván,51,2343,,,,,,,,,,,,,,
Szomolya,23,1559,,,,,,,,,,,,,,
Tard,40,1230,,,,,,,,,,,,,,
Tibolddaróc,30,1417,,,,,,,,,,,,,,
Tiszabábolna,33,370,,,,,,,,,,,,,,
Tiszavalk,12,307,,,,,,,,,,,,,,
Vatta,23,864,,,,,,,,,,,,,,
Mezőkövesdi járás,724,41867,,,,,,,,,,,,,,
Alsózsolca,26,5937,,,,,,,,,,,,,,
Arnót,18,2544,,,,,,,,,,,,,,
Berzék,11,1145,,,,,,,,,,,,,,
Bőcs,24,2754,,,,,,,,,,,,,,
Bükkaranyos,26,1467,,,,,,,,,,,,,,
Bükkszentkereszt,27,1212,,,,,,,,,,,,,,
Emőd,49,4895,,,,,,,,,,,,,,
Felsőzsolca,16,6750,,,,,,,,,,,,,,
Gesztely,29,2798,,,,,,,,,,,,,,
Harsány,37,2014,,,,,,,,,,,,,,
Hernádkak,11,1632,,,,,,,,,,,,,,
Hernádnémeti,29,3417,,,,,,,,,,,,,,
Kisgyőr,71,1648,,,,,,,,,,,,,,
Kistokaj,10,2121,,,,,,,,,,,,,,
Kondó,20,607,,,,,,,,,,,,,,
Köröm,8,1388,,,,,,,,,,,,,,
Mályi,11,4111,,,,,,,,,,,,,,
Miskolc,237,166823,,,,,,,,,,,,,,
Nyékládháza,25,5001,,,,,,,,,,,,,,
Onga,31,4775,,,,,,,,,,,,,,
Ónod,18,2595,,,,,,,,,,,,,,
Parasznya,17,1166,,,,,,,,,,,,,,
Radostyán,8,591,,,,,,,,,,,,,,
Répáshuta,17,464,,,,,,,,,,,,,,
Sajóbábony,13,2782,,,,,,,,,,,,,,
Sajóecseg,8,1007,,,,,,,,,,,,,,
Sajóhídvég,13,1048,,,,,,,,,,,,,,
Sajókápolna,11,404,,,,,,,,,,,,,,
Sajókeresztúr,16,1505,,,,,,,,,,,,,,
Sajólád,13,3095,,,,,,,,,,,,,,
Sajólászlófalva,7,419,,,,,,,,,,,,,,
Sajópálfala,7,727,,,,,,,,,,,,,,
Sajópetri,9,1515,,,,,,,,,,,,,,
Sajósenye,8,446,,,,,,,,,,,,,,
Sajóvámos,31,2200,,,,,,,,,,,,,,
Sóstófalva,7,262,,,,,,,,,,,,,,
Szirmabesenyő,16,4344,,,,,,,,,,,,,,
Újcsanálos,12,867,,,,,,,,,,,,,,
Varbó,26,1087,,,,,,,,,,,,,,
Miskolci járás,973,249563,,,,,,,,,,,,,,
Arló,47,3686,,,,,,,,,,,,,,
Borsodbóta,8,857,,,,,,,,,,,,,,
Borsodnádasd,28,3007,,,,,,,,,,,,,,
Borsodszentgyörgy,22,1135,,,,,,,,,,,,,,
Bükkmogyorósd,10,119,,,,,,,,,,,,,,
Csernely,21,806,,,,,,,,,,,,,,
Csokvaomány,15,843,,,,,,,,,,,,,,
Domaháza,29,816,,,,,,,,,,,,,,
Farkaslyuk,6,1759,,,,,,,,,,,,,,
Hangony,39,1480,,,,,,,,,,,,,,
Járdánháza,11,1792,,,,,,,,,,,,,,
Kissikátor,10,312,,,,,,,,,,,,,,
Lénárddaróc,5,289,,,,,,,,,,,,,,
Nekézseny,14,735,,,,,,,,,,,,,,
Ózd,92,33750,,,,,,,,,,,,,,
Sáta,17,1037,,,,,,,,,,,,,,
Uppony,13,309,,,,,,,,,,,,,,
Ózdi járás,386,52732,,,,,,,,,,,,,,
Aggtelek,44,535,,,,,,,,,,,,,,
Alsószuha,22,479,,,,,,,,,,,,,,
Bánréve,7,1271,,,,,,,,,,,,,,
Dövény,12,283,,,,,,,,,,,,,,
Dubicsány,13,285,,,,,,,,,,,,,,
Felsőkelecsény,8,364,,,,,,,,,,,,,,
Felsőnyárád,12,980,,,,,,,,,,,,,,
Gömörszőlős,9,77,,,,,,,,,,,,,,
Hét,4,493,,,,,,,,,,,,,,
Imola,18,96,,,,,,,,,,,,,,
Jákfalva,9,525,,,,,,,,,,,,,,
Jósvafő,22,235,,,,,,,,,,,,,,
Kánó,14,163,,,,,,,,,,,,,,
Kelemér,19,525,,,,,,,,,,,,,,
Királd,8,834,,,,,,,,,,,,,,
Putnok,35,6634,,,,,,,,,,,,,,
Ragály,16,649,,,,,,,,,,,,,,
Sajómercse,11,221,,,,,,,,,,,,,,
Sajónémeti,7,493,,,,,,,,,,,,,,
Sajópüspöki,9,503,,,,,,,,,,,,,,
Sajóvelezd,23,826,,,,,,,,,,,,,,
Serényfalva,20,970,,,,,,,,,,,,,,
Szuhafő,16,141,,,,,,,,,,,,,,
Trizs,10,195,,,,,,,,,,,,,,
Zádorfalva,14,480,,,,,,,,,,,,,,
Zubogy,11,577,,,,,,,,,,,,,,
Putnoki járás,391,18834,,,,,,,,,,,,,,
Bodrogolaszi,21,882,,,,,,,,,,,,,,
Erdőhorváti,50,545,,,,,,,,,,,,,,
Györgytarló,30,563,,,,,,,,,,,,,,
Háromhuta,38,125,,,,,,,,,,,,,,
Hercegkút,8,624,,,,,,,,,,,,,,
Kenézlő,23,1229,,,,,,,,,,,,,,
Komlóska,30,237,,,,,,,,,,,,,,
Makkoshotyka,10,869,,,,,,,,,,,,,,
Olaszliszka,39,1661,,,,,,,,,,,,,,
Sárazsadány,15,249,,,,,,,,,,,,,,
Sárospatak,139,12590,,,,,,,,,,,,,,
Tolcsva,16,1681,,,,,,,,,,,,,,
Vajdácska,23,1302,,,,,,,,,,,,,,
Vámosújfalu,11,857,,,,,,,,,,,,,,
Viss,14,631,,,,,,,,,,,,,,
Zalkod,10,201,,,,,,,,,,,,,,
Sárospataki járás,478,24246,,,,,,,,,,,,,,
Alsóberecki,7,722,,,,,,,,,,,,,,
Alsóregmec,15,196,,,,,,,,,,,,,,
Bózsva,16,183,,,,,,,,,,,,,,
Felsőberecki,4,273,,,,,,,,,,,,,,
Felsőregmec,11,322,,,,,,,,,,,,,,
Filkeháza,4,97,,,,,,,,,,,,,,
Füzér,37,467,,,,,,,,,,,,,,
Füzérkajata,11,110,,,,,,,,,,,,,,
Füzérkomlós,6,331,,,,,,,,,,,,,,
Füzérradvány,10,318,,,,,,,,,,,,,,
Hollóháza,2,826,,,,,,,,,,,,,,
Kishuta,5,272,,,,,,,,,,,,,,
Kovácsvágás,21,649,,,,,,,,,,,,,,
Mikóháza,17,576,,,,,,,,,,,,,,
Nagyhuta,35,89,,,,,,,,,,,,,,
Nyíri,16,412,,,,,,,,,,,,,,
Pálháza,7,1000,,,,,,,,,,,,,,
Pusztafalu,7,192,,,,,,,,,,,,,,
Sátoraljaújhely,73,15355,,,,,,,,,,,,,,
Vágáshuta,2,83,,,,,,,,,,,,,,
Vilyvitány,13,230,,,,,,,,,,,,,,
Sátoraljaújhelyi járás,321,22703,,,,,,,,,,,,,,
Alsódobsza,11,319,,,,,,,,,,,,,,
Bekecs,26,2391,,,,,,,,,,,,,,
Legyesbénye,20,1516,,,,,,,,,,,,,,
Mád,32,2128,,,,,,,,,,,,,,
Megyaszó,53,2722,,,,,,,,,,,,,,
Mezőzombor,39,2378,,,,,,,,,,,,,,
Monok,42,1558,,,,,,,,,,,,,,
Prügy,31,2348,,,,,,,,,,,,,,
Rátka,12,946,,,,,,,,,,,,,,
Szerencs,37,9100,,,,,,,,,,,,,,
Taktaharkány,39,3642,,,,,,,,,,,,,,
Taktakenéz,20,1243,,,,,,,,,,,,,,
Taktaszada,26,1878,,,,,,,,,,,,,,
Tiszalúc,45,5304,,,,,,,,,,,,,,
Szerencsi járás,432,37473,,,,,,,,,,,,,,
Abaújlak,7,131,,,,,,,,,,,,,,
Abaújszolnok,9,191,,,,,,,,,,,,,,
Alsóvadász,23,1562,,,,,,,,,,,,,,
Aszaló,25,1879,,,,,,,,,,,,,,
Felsővadász,19,543,,,,,,,,,,,,,,
Gadna,8,262,,,,,,,,,,,,,,
Gagybátor,19,226,,,,,,,,,,,,,,
Gagyvendégi,12,200,,,,,,,,,,,,,,
Halmaj,13,1853,,,,,,,,,,,,,,
Hernádkércs,7,275,,,,,,,,,,,,,,
Homrogd,13,956,,,,,,,,,,,,,,
Kázsmárk,12,959,,,,,,,,,,,,,,
Kiskinizs,7,359,,,,,,,,,,,,,,
Kupa,8,159,,,,,,,,,,,,,,
Léh,8,473,,,,,,,,,,,,,,
Monaj,12,223,,,,,,,,,,,,,,
Nagykinizs,7,333,,,,,,,,,,,,,,
Nyésta,7,52,,,,,,,,,,,,,,
Pamlény,12,44,,,,,,,,,,,,,,
Rásonysápberencs,9,595,,,,,,,,,,,,,,
Selyeb,17,489,,,,,,,,,,,,,,
Szászfa,12,119,,,,,,,,,,,,,,
Szentistvánbaksa,7,270,,,,,,,,,,,,,,
Szikszó,36,5348,,,,,,,,,,,,,,
Szikszói járás,309,17501,,,,,,,,,,,,,,
Girincs,11,917,,,,,,,,,,,,,,
Hejőbába,19,1927,,,,,,,,,,,,,,
Hejőkeresztúr,10,948,,,,,,,,,,,,,,
Hejőkürt,15,315,,,,,,,,,,,,,,
Hejőszalonta,11,836,,,,,,,,,,,,,,
Kesznyéten,36,1900,,,,,,,,,,,,,,
Kiscsécs,4,207,,,,,,,,,,,,,,
Muhi,10,533,,,,,,,,,,,,,,
Nagycsécs,10,776,,,,,,,,,,,,,,
Nemesbikk,24,995,,,,,,,,,,,,,,
Oszlár,6,392,,,,,,,,,,,,,,
Sajóörös,8,1343,,,,,,,,,,,,,,
Sajószöged,14,2265,,,,,,,,,,,,,,
Szakáld,11,519,,,,,,,,,,,,,,
Tiszapalkonya,13,1407,,,,,,,,,,,,,,
Tiszaújváros,46,16557,,,,,,,,,,,,,,
Tiszaújvárosi járás,249,31837,,,,,,,,,,,,,,
Bodrogkeresztúr,30,1107,,,,,,,,,,,,,,
Bodrogkisfalud,15,836,,,,,,,,,,,,,,
Csobaj,20,702,,,,,,,,,,,,,,
Erdőbénye,46,1018,,,,,,,,,,,,,,
Szegi,9,296,,,,,,,,,,,,,,
Szegilong,7,203,,,,,,,,,,,,,,
Taktabáj,17,575,,,,,,,,,,,,,,
Tarcal,54,2824,,,,,,,,,,,,,,
Tiszaladány,22,670,,,,,,,,,,,,,,
Tiszatardos,9,223,,,,,,,,,,,,,,
Tokaj,28,4839,,,,,,,,,,,,,,
Tokaji járás,256,13293,,,,,,,,,,,,,,
Csongrád megye,,,,,,,,,,,,,,,,
Csanytelek,35,2755,,,,,,,,,,,,,,
Csongrád,174,16846,,,,,,,,,,,,,,
Felgyő,77,1281,,,,,,,,,,,,,,
Tömörkény,54,1751,,,,,,,,,,,,,,
Csongrádi járás,339,22633,,,,,,,,,,,,,,
Hódmezővásárhely,488,46522,,,,,,,,,,,,,,
Mártély,36,1359,,,,,,,,,,,,,,
Mindszent,59,6685,,,,,,,,,,,,,,
Székkutas,124,2336,,,,,,,,,,,,,,
Hódmezővásárhelyi járás,708,56902,,,,,,,,,,,,,,
Baks,62,1963,,,,,,,,,,,,,,
Balástya,110,3423,,,,,,,,,,,,,,
Csengele,61,1967,,,,,,,,,,,,,,
Kistelek,69,7020,,,,,,,,,,,,,,
Ópusztaszer,60,2299,,,,,,,,,,,,,,
Pusztaszer,49,1480,,,,,,,,,,,,,,
Kisteleki járás,410,18152,,,,,,,,,,,,,,
Ambrózfalva,11,486,,,,,,,,,,,,,,
Apátfalva,54,2941,,,,,,,,,,,,,,
Csanádalberti,15,434,,,,,,,,,,,,,,
Csanádpalota,78,2968,,,,,,,,,,,,,,
Földeák,36,3025,,,,,,,,,,,,,,
Királyhegyes,30,662,,,,,,,,,,,,,,
Kiszombor,66,3772,,,,,,,,,,,,,,
Kövegy,10,377,,,,,,,,,,,,,,
Magyarcsanád,48,1458,,,,,,,,,,,,,,
Makó,229,23573,,,,,,,,,,,,,,
Maroslele,47,2047,,,,,,,,,,,,,,
Nagyér,12,480,,,,,,,,,,,,,,
Nagylak,5,466,,,,,,,,,,,,,,
Óföldeák,35,451,,,,,,,,,,,,,,
Pitvaros,13,1341,,,,,,,,,,,,,,
Makói járás,689,44481,,,,,,,,,,,,,,
Ásotthalom,123,3986,,,,,,,,,,,,,,
Bordány,36,3262,,,,,,,,,,,,,,
Forráskút,37,2336,,,,,,,,,,,,,,
Mórahalom,83,6067,,,,,,,,,,,,,,
Öttömös,31,698,,,,,,,,,,,,,,
Pusztamérges,24,1227,,,,,,,,,,,,,,
Ruzsa,85,2522,,,,,,,,,,,,,,
Üllés,50,3142,,,,,,,,,,,,,,
Zákányszék,66,2743,,,,,,,,,,,,,,
Zsombó,27,3552,,,,,,,,,,,,,,
Mórahalmi járás,562,29535,,,,,,,,,,,,,,
Algyő,76,5251,,,,,,,,,,,,,,
Deszk,52,3644,,,,,,,,,,,,,,
Dóc,49,765,,,,,,,,,,,,,,
Domaszék,52,4974,,,,,,,,,,,,,,
Ferencszállás,6,615,,,,,,,,,,,,,,
Klárafalva,9,476,,,,,,,,,,,,,,
Kübekháza,27,1488,,,,,,,,,,,,,,
Röszke,37,3176,,,,,,,,,,,,,,
Sándorfalva,56,7953,,,,,,,,,,,,,,
Szatymaz,54,4674,,,,,,,,,,,,,,
Szeged,281,170052,,,,,,,,,,,,,,
Tiszasziget,27,1751,,,,,,,,,,,,,,
Újszentiván,15,1786,,,,,,,,,,,,,,
Szegedi járás,741,206605,,,,,,,,,,,,,,
Árpádhalom,45,488,,,,,,,,,,,,,,
Derekegyház,54,1595,,,,,,,,,,,,,,
Eperjes,74,495,,,,,,,,,,,,,,
Fábiánsebestyén,72,2020,,,,,,,,,,,,,,
Nagymágocs,75,3087,,,,,,,,,,,,,,
Nagytőke,55,457,,,,,,,,,,,,,,
Szegvár,86,4440,,,,,,,,,,,,,,
Szentes,353,28476,,,,,,,,,,,,,,
Szentesi járás,814,41058,,,,,,,,,,,,,,
Fejér megye,,,,,,,,,,,,,,,,
Alcsútdoboz,51,1446,,,,,,,,,,,,,,
Bicske,77,11642,,,,,,,,,,,,,,
Bodmér,7,222,,,,,,,,,,,,,,
Csabdi,17,1168,,,,,,,,,,,,,,
Csákvár,119,5221,,,,,,,,,,,,,,
Etyek,53,4402,,,,,,,,,,,,,,
Felcsút,22,1831,,,,,,,,,,,,,,
Mány,45,2403,,,,,,,,,,,,,,
Óbarok,19,803,,,,,,,,,,,,,,
Szár,23,1641,,,,,,,,,,,,,,
Tabajd,27,962,,,,,,,,,,,,,,
Újbarok,1,440,,,,,,,,,,,,,,
Vértesacsa,36,1745,,,,,,,,,,,,,,
Vértesboglár,23,860,,,,,,,,,,,,,,
Bicskei járás,520,34786,,,,,,,,,,,,,,
Adony,61,3912,,,,,,,,,,,,,,
Baracs,55,3484,,,,,,,,,,,,,,
Beloiannisz,5,1100,,,,,,,,,,,,,,
Besnyő,45,1779,,,,,,,,,,,,,,
Daruszentmiklós,19,1597,,,,,,,,,,,,,,
Dunaújváros,53,48010,,,,,,,,,,,,,,
Előszállás,40,2186,,,,,,,,,,,,,,
Iváncsa,25,2899,,,,,,,,,,,,,,
Kisapostag,10,1414,,,,,,,,,,,,,,
Kulcs,17,2728,,,,,,,,,,,,,,
Mezőfalva,80,4677,,,,,,,,,,,,,,
Nagykarácsony,30,1361,,,,,,,,,,,,,,
Nagyvenyim,44,4051,,,,,,,,,,,,,,
Perkáta,75,3942,,,,,,,,,,,,,,
Pusztaszabolcs,52,5997,,,,,,,,,,,,,,
Rácalmás,41,4488,,,,,,,,,,,,,,
Dunaújvárosi járás,650,93625,,,,,,,,,,,,,,
Dég,47,2047,,,,,,,,,,,,,,
Enying,83,6768,,,,,,,,,,,,,,
Lajoskomárom,76,2110,,,,,,,,,,,,,,
Mezőkomárom,29,905,,,,,,,,,,,,,,
Szabadhídvég,44,838,,,,,,,,,,,,,,
Enyingi járás,278,12668,,,,,,,,,,,,,,
Gárdony,64,9927,,,,,,,,,,,,,,
Kápolnásnyék,42,3610,,,,,,,,,,,,,,
Nadap,7,540,,,,,,,,,,,,,,
Pákozd,43,3199,,,,,,,,,,,,,,
Pázmánd,27,2029,,,,,,,,,,,,,,
Sukoró,16,1295,,,,,,,,,,,,,,
Szabadegyháza,42,2168,,,,,,,,,,,,,,
Velence,33,5359,,,,,,,,,,,,,,
Vereb,22,786,,,,,,,,,,,,,,
Zichyújfalu,11,941,,,,,,,,,,,,,,
Gárdonyi járás,307,29854,,,,,,,,,,,,,,
Baracska,40,2766,,,,,,,,,,,,,,
Ercsi,65,7999,,,,,,,,,,,,,,
Gyúró,24,1254,,,,,,,,,,,,,,
Kajászó,24,1055,,,,,,,,,,,,,,
Martonvásár,31,5811,,,,,,,,,,,,,,
Ráckeresztúr,35,3311,,,,,,,,,,,,,,
Tordas,17,2123,,,,,,,,,,,,,,
Vál,40,2521,,,,,,,,,,,,,,
Martonvásári járás,277,26840,,,,,,,,,,,,,,
Bakonycsernye,38,3097,,,,,,,,,,,,,,
Balinka,19,945,,,,,,,,,,,,,,
Bodajk,29,4051,,,,,,,,,,,,,,
Csákberény,41,1182,,,,,,,,,,,,,,
Csókakő,11,1311,,,,,,,,,,,,,,
Fehérvárcsurgó,30,1971,,,,,,,,,,,,,,
Isztimér,54,979,,,,,,,,,,,,,,
Kincsesbánya,11,1526,,,,,,,,,,,,,,
Mór,109,14255,,,,,,,,,,,,,,
Nagyveleg,13,659,,,,,,,,,,,,,,
Pusztavám,35,2413,,,,,,,,,,,,,,
Söréd,6,505,,,,,,,,,,,,,,
Móri járás,395,32894,,,,,,,,,,,,,,
Füle,30,834,,,,,,,,,,,,,,
Jenő,6,1329,,,,,,,,,,,,,,
Kisláng,53,2346,,,,,,,,,,,,,,
Kőszárhegy,6,1620,,,,,,,,,,,,,,
Lepsény,39,3029,,,,,,,,,,,,,,
Mátyásdomb,35,723,,,,,,,,,,,,,,
Mezőszentgyörgy,27,1309,,,,,,,,,,,,,,
Nádasdladány,26,1749,,,,,,,,,,,,,,
Polgárdi,72,6964,,,,,,,,,,,,,,
Polgárdi járás,295,19903,,,,,,,,,,,,,,
Alap,48,1925,,,,,,,,,,,,,,
Alsószentiván,40,608,,,,,,,,,,,,,,
Cece,59,2499,,,,,,,,,,,,,,
Hantos,37,910,,,,,,,,,,,,,,
Igar,41,959,,,,,,,,,,,,,,
Mezőszilas,65,2068,,,,,,,,,,,,,,
Nagylók,32,1059,,,,,,,,,,,,,,
Sárbogárd,189,12448,,,,,,,,,,,,,,
Sáregres,26,752,,,,,,,,,,,,,,
Sárkeresztúr,47,2561,,,,,,,,,,,,,,
Sárszentágota,46,1346,,,,,,,,,,,,,,
Vajta,23,1053,,,,,,,,,,,,,,
Sárbogárdi járás,654,28188,,,,,,,,,,,,,,
Aba,88,4619,,,,,,,,,,,,,,
Bakonykúti,12,134,,,,,,,,,,,,,,
Csór,41,1832,,,,,,,,,,,,,,
Csősz,17,1044,,,,,,,,,,,,,,
Gánt,58,847,,,,,,,,,,,,,,
Iszkaszentgyörgy,26,2032,,,,,,,,,,,,,,
Káloz,48,2402,,,,,,,,,,,,,,
Lovasberény,61,2669,,,,,,,,,,,,,,
Magyaralmás,22,1537,,,,,,,,,,,,,,
Moha,10,549,,,,,,,,,,,,,,
Pátka,40,1628,,,,,,,,,,,,,,
Sárkeresztes,23,1484,,,,,,,,,,,,,,
Sárkeszi,15,611,,,,,,,,,,,,,,
Sárosd,48,3325,,,,,,,,,,,,,,
Sárszentmihály,37,3062,,,,,,,,,,,,,,
Seregélyes,78,4560,,,,,,,,,,,,,,
Soponya,50,2010,,,,,,,,,,,,,,
Szabadbattyán,34,4525,,,,,,,,,,,,,,
Székesfehérvár,171,101722,,,,,,,,,,,,,,
Tác,46,1649,,,,,,,,,,,,,,
Úrhida,7,2366,,,,,,,,,,,,,,
Zámoly,49,2216,,,,,,,,,,,,,,
Székesfehérvári járás,982,146823,,,,,,,,,,,,,,
Győr-Moson-Sopron megye,,,,,,,,,,,,,,,,
Acsalag,10,452,,,,,,,,,,,,,,
Bágyogszovát,24,1284,,,,,,,,,,,,,,
