,sorszam,plotlabel,svc_likelihood,nn_likelihood,rf_likelihood,sum
13,3518,3518,0.6836170212765957,0.15902731604609935,0.9222813238770683,1.7649256611997635
11,3438,3438,0.6836170212765957,0.0062015181737588645,0.9350472813238768,1.6248658207742315
15,3522,3522,0.642340425531915,0.004975620567375888,0.5028959810874706,1.1502120271867615
20,1080,1080,0.434468085106383,2.7703900709219857e-05,0.5555851063829788,0.990080895390071
32,152,152,0.6836170212765957,0.1944993905141845,0.10401891252955082,0.982135324320331
38,899,899,0.04127659574468085,2.7703900709219857e-05,0.8690307328605198,0.91033503250591
59,1629,1629,0.46734042553191496,2.7703900709219857e-05,0.3494089834515367,0.8167771128841609
24,782,782,0.6836170212765957,2.7703900709219857e-05,0.11610520094562646,0.7997499261229314
68,2493,2493,0.6836170212765957,2.7703900709219857e-05,0.07573877068557919,0.7593834958628841
31,3033,3033,0.6836170212765957,2.7703900709219857e-05,0.07573877068557919,0.7593834958628841
72,2689,2689,0.6836170212765957,2.7703900709219857e-05,0.03785460992907801,0.721499335106383
87,57,57,0.6836170212765957,2.7703900709219857e-05,0.025620567375886524,0.7092652925531915
74,1546,1546,0.6836170212765957,0.0012577570921985814,0.0,0.6848747783687943
60,2766,2766,0.6836170212765957,2.7703900709219857e-05,0.0,0.683644725177305
3,1179,1179,0.434468085106383,0.0006496564716312056,0.2167553191489362,0.6518730607269504
7,295,295,0.46734042553191496,2.7703900709219857e-05,0.17804373522458633,0.6454118646572105
43,1006,1006,0.434468085106383,2.7703900709219857e-05,0.16708037825059105,0.6015761672576833
58,3046,3046,0.46734042553191496,2.7703900709219857e-05,0.11409574468085104,0.5814638741134752
42,1001,1001,0.434468085106383,2.7703900709219857e-05,0.12792553191489364,0.5624213209219859
39,2891,2891,0.55,2.7703900709219857e-05,0.0,0.5500277039007093
80,2119,2119,0.55,2.7703900709219857e-05,0.0,0.5500277039007093
89,2812,2812,0.55,2.7703900709219857e-05,0.0,0.5500277039007093
76,208,208,0.434468085106383,2.7703900709219857e-05,0.11489361702127658,0.5493894060283688
6,1570,1570,0.434468085106383,2.7703900709219857e-05,0.10195035460992907,0.5364461436170214
0,866,866,0.434468085106383,2.7703900709219857e-05,0.08891843971631204,0.5234142287234043
27,26,26,0.434468085106383,2.7703900709219857e-05,0.08891843971631204,0.5234142287234043
67,2864,2864,0.5087234042553193,2.7703900709219857e-05,0.0,0.5087511081560285
63,472,472,0.46734042553191496,2.7703900709219857e-05,0.013120567375886525,0.4804886968085107
96,3139,3139,0.46734042553191496,2.7703900709219857e-05,0.013120567375886525,0.4804886968085107
69,3189,3189,0.46734042553191496,2.7703900709219857e-05,0.013091016548463357,0.4804591459810875
84,2953,2953,0.46734042553191496,2.7703900709219857e-05,0.0,0.4673681294326242
94,1710,1710,0.46734042553191496,2.7703900709219857e-05,0.0,0.4673681294326242
57,1267,1267,0.46734042553191496,2.7703900709219857e-05,0.0,0.4673681294326242
